epoch,avg Precision
0,0.36361794924591734
1,0.8708419907874659
2,0.8667486882223885
3,0.8807976979942531
4,0.8876512107620915
5,0.8909972648711407
6,0.891717431027207
7,0.8924511502503119
8,0.8908710799612392
9,0.8871031367643916
10,0.882093423400705
11,0.8775798428757294
12,0.8746260713888786
13,0.8725548657559741
14,0.866967552870824
15,0.8613122066454345
16,0.8579600939558979
17,0.8567273941359669
18,0.8546008545514218
19,0.8487775307257921
20,0.8442622212384704
21,0.841888395985309
22,0.8382027203868393
23,0.8355197786732015
24,0.833125761714252
25,0.8317024174925475
26,0.8275880772560892
27,0.826996989065597
28,0.8240508521784397
29,0.8214927069263169
