epoch,avg F1
0,0.6573239086827478
1,0.9032659066328744
2,0.9332059333446086
3,0.9352119169905105
4,0.9391574754414919
5,0.9365113556548837
6,0.9384318424749658
7,0.9420628466374035
8,0.9393756774558885
9,0.9388962829919882
10,0.9402550402653551
11,0.9457220640378903
12,0.9469606703718334
13,0.9429688402239242
14,0.9493198200018793
15,0.9498855372408359
16,0.9473838395470574
17,0.9470390238783597
18,0.9508745427274918
19,0.951436044202421
20,0.9523858296027448
21,0.956468977807927
22,0.9543363223447134
23,0.9537505329146689
24,0.9555380956075316
25,0.9550702451845906
26,0.9547738449004648
27,0.9567186036168083
28,0.9550611576344366
29,0.9550608294952485
