epoch,avg Recall
0,0.9116218193384219
1,0.9116520356234094
2,0.95503276081425
3,0.9594026717557252
4,0.9619818702290075
5,0.9604322519083971
6,0.9656911577608147
7,0.9638291984732826
8,0.9629869592875324
9,0.9609293893129771
10,0.9589354325699757
11,0.9632655852417302
12,0.9608263358778625
13,0.9569551526717553
14,0.9634176208651394
15,0.9619777353689561
16,0.9586272264631042
17,0.9559074427480911
18,0.9599961832061079
19,0.961015267175572
20,0.9603975826972004
21,0.9639570610687024
22,0.9617029262086519
23,0.9634029898218828
24,0.9636507633587789
25,0.9615467557251908
26,0.9629182569974551
27,0.9644869592875316
28,0.9635496183206114
29,0.9642442748091594
